"","ImageNumber","Image_Metadata_GeneID","Image_Metadata_Plate","Image_Metadata_Well","Signal"
"1",1,"Neu. ctrl.","P01","B02",1432
"2",2,"ZNF189","P01","B03",950
"3",3,"NAA15","P01","B04",1227
"4",4,"SP3","P01","B05",1007
"5",5,"SUPT4H1","P01","B06",755
"6",6,"AEBP2","P01","B07",646
"7",7,"HOXC6","P01","B08",612
"8",8,"FOXP4","P01","B09",799
"9",9,"PTMA","P01","B10",867
"10",10,"PSMD9","P01","B11",555
"11",11,"siPLIN1","P01","C02",1959
"12",12,"SUPT6H","P01","C03",1061
"13",13,"HOXC6","P01","C04",847
"14",14,"AEBP2","P01","C05",809
"15",15,"MLXIPL","P01","C06",1104
"16",16,"MED30","P01","C07",540
"17",17,"ZNF189","P01","C08",596
"18",18,"SUPT6H","P01","C09",793
"19",19,"E4F1","P01","C10",670
"20",20,"Neu. ctrl.","P01","C11",698
"21",21,"Neu. ctrl.","P01","D02",1428
"22",22,"MLXIPL","P01","D03",1224
"23",23,"SUPT4H1","P01","D04",961
"24",24,"ZFPM2","P01","D05",852
"25",25,"Neu. ctrl.","P01","D06",734
"26",26,"FOXP4","P01","D07",793
"27",27,"BPNT1","P01","D08",723
"28",28,"JUNB","P01","D09",637
"29",29,"SP3","P01","D10",742
"30",30,"ARID1B","P01","D11",942
"31",31,"siPLIN1","P01","E02",1973
"32",32,"MED30","P01","E03",871
"33",33,"NAA15","P01","E04",1214
"34",34,"PTMA","P01","E05",928
"35",35,"JUNB","P01","E06",796
"36",36,"ZNF189","P01","E07",648
"37",37,"ARID1B","P01","E08",939
"38",38,"SUPT4H1","P01","E09",768
"39",39,"MLXIPL","P01","E10",1033
"40",40,"ZFPM2","P01","E11",694
"41",41,"Neu. ctrl.","P01","F02",1302
"42",42,"HOXC6","P01","F03",846
"43",43,"FOXP4","P01","F04",944
"44",44,"PSMD9","P01","F05",752
"45",45,"E4F1","P01","F06",723
"46",46,"SUPT6H","P01","F07",764
"47",47,"NAA15","P01","F08",1030
"48",48,"Neu. ctrl.","P01","F09",678
"49",49,"BPNT1","P01","F10",646
"50",50,"E4F1","P01","F11",658
"51",51,"siPLIN1","P01","G02",1919
"52",52,"ZFPM2","P01","G03",959
"53",53,"BPNT1","P01","G04",1007
"54",54,"JUNB","P01","G05",845
