"","Image_Metadata_Well","Signal","Image_Metadata_Plate","patient","Conc"
"3","A04",423,"P01","P4",0
"4","A05",343,"P01","P4",0.9375
"5","A06",351,"P01","P4",1.875
"6","A07",412,"P01","P4",3.75
"7","A08",612,"P01","P4",7.5
"8","A09",1209,"P01","P4",15
"9","A10",2214,"P01","P4",30
"10","A11",3734,"P01","P4",60
"13","A04",188,"P02","P4",0
"14","A05",197,"P02","P4",0.9375
"15","A06",259,"P02","P4",1.875
"16","A07",411,"P02","P4",3.75
"17","A08",598,"P02","P4",7.5
"18","A09",1086,"P02","P4",15
"19","A10",1995,"P02","P4",30
"20","A11",3802,"P02","P4",60
"23","A04",144,"P03","P4",0
"24","A05",178,"P03","P4",0.9375
"25","A06",247,"P03","P4",1.875
"26","A07",424,"P03","P4",3.75
"27","A08",648,"P03","P4",7.5
"28","A09",1157,"P03","P4",15
"29","A10",2147,"P03","P4",30
"30","A11",3848,"P03","P4",60
"33","A04",152,"P04","P4",0
"34","A05",204,"P04","P4",0.9375
"35","A06",286,"P04","P4",1.875
"36","A07",417,"P04","P4",3.75
"37","A08",600,"P04","P4",7.5
"38","A09",1216,"P04","P4",15
"39","A10",2098,"P04","P4",30
"40","A11",3707,"P04","P4",60
"43","A04",175,"P05","P4",0
"44","A05",196,"P05","P4",0.9375
"45","A06",289,"P05","P4",1.875
"46","A07",357,"P05","P4",3.75
"47","A08",550,"P05","P4",7.5
"48","A09",1016,"P05","P4",15
"49","A10",1917,"P05","P4",30
"50","A11",3530,"P05","P4",60
"53","A04",184,"P06","P4",0
"54","A05",182,"P06","P4",0.9375
"55","A06",250,"P06","P4",1.875
"56","A07",421,"P06","P4",3.75
"57","A08",633,"P06","P4",7.5
"58","A09",1089,"P06","P4",15
"59","A10",2010,"P06","P4",30
"60","A11",3591,"P06","P4",60
"63","A04",153,"P07","P4",0
"64","A05",192,"P07","P4",0.9375
"65","A06",290,"P07","P4",1.875
"66","A07",388,"P07","P4",3.75
"67","A08",624,"P07","P4",7.5
"68","A09",1216,"P07","P4",15
"69","A10",2029,"P07","P4",30
"70","A11",3585,"P07","P4",60
"73","A04",159,"P08","P4",0
"74","A05",181,"P08","P4",0.9375
"75","A06",267,"P08","P4",1.875
"76","A07",411,"P08","P4",3.75
"77","A08",668,"P08","P4",7.5
"78","A09",1172,"P08","P4",15
"79","A10",2120,"P08","P4",30
"80","A11",3833,"P08","P4",60
"83","A04",156,"P09","P4",0
"84","A05",176,"P09","P4",0.9375
"85","A06",250,"P09","P4",1.875
"86","A07",369,"P09","P4",3.75
"87","A08",581,"P09","P4",7.5
"88","A09",1091,"P09","P4",15
"89","A10",2017,"P09","P4",30
"90","A11",3557,"P09","P4",60
"93","A04",187,"P10","P4",0
"94","A05",228,"P10","P4",0.9375
"95","A06",314,"P10","P4",1.875
"96","A07",389,"P10","P4",3.75
"97","A08",652,"P10","P4",7.5
"98","A09",1198,"P10","P4",15
"99","A10",2184,"P10","P4",30
"100","A11",3771,"P10","P4",60
